title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
1989 Toyota Land Cruiser FJ62,"25,250",5/12/2021,"11,903",632,21,10,"burbank, california 91505",1989,fj62,242k,4.0l 3f-e inline-six,automatic,beige metallic & gray metallic,beige cloth upholstery,"['chassis: jt3fj62g8k1108128', '242k miles shown ', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic & gray metallic', 'beige cloth upholstery', '2"" lift kit w/ ome shocks & leaf springs', 'fj40-specification wheels w/ bfgoodrich tires', 'manually locking front hubs', 'alpine stereo w/ apple carplay & focal speakers', 'air conditioning', 'rear main & transmission oil seals replaced', 'exhaust & trim components replaced', 'recent service records', ""owner's manual"", 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-75/
1986 Toyota Land Cruiser FJ60 5-Speed,"16,500",4/29/2021,"11,691",538,21,7,"driggs, idaho 83422",1986,fj60,205k,4.2-liter 2f inline-six,manual,beige metallic paint,brown cloth upholstery,"['chassis: jt3fj60gxg1135017', '205k miles shown', '4.2-liter 2f inline-six', 'h55f five-speed manual transmission', 'dual-range transfer case', 'beige metallic paint', 'brown cloth upholstery', 'old man emu suspension lift', 'arb front bumper w/brush guard', 'step bars', 'alpine stereo w/cd changer', 'original dealer bill of sale', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-33/
1988 Toyota Land Cruiser FJ62,"39,775",4/28/2021,"8,103",456,35,24,"greensboro, north carolina 27408",1988,fj62,160k,4.0l 3f-e inline-six,automatic,repainted in light blue & dark gray metallic,gray cloth upholstery,"['chassis: jt3fj62g4j0074967', '160k miles shown', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case ', 'repainted in light blue & dark gray metallic', 'gray cloth upholstery', 'manually locking front hubs', 'old man emu shocks', 'air conditioning', '80-series third-row seats', 'aftermarket stereo w/ bluetooth & usb input', 'oil change & ignition components in 2020', 'carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-66/
1989 Toyota Land Cruiser FJ62,"34,850",4/23/2021,"10,997",576,59,27,"los angeles, california 90066",1989,fj62,193k,replacement 4.0l straight-six,automatic,white w/tri-color decals,gray cloth interior,"['chassis: jt3fj62g9k1112172', '193k miles shown', 'replacement 4.0l straight-six', '4-speed automatic transmission', 'dual-range transfer case', 'white w/tri-color decals', 'gray cloth interior', '15"" chrome wheels w/bfg tires', 'manually-locking front hubs', 'air conditioning', 'power windows & locks', 'pioneer cd stereo']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-73/
1989 Toyota Land Cruiser FJ62,"45,250",4/21/2021,"13,375",819,74,79,"mesa, arizona 85201",1989,fj62,187k,4.0-liter inline-six,automatic,two-tone light blue & dark gray paint,gray cloth upholstery,"['chassis: jt3fj62g2j0094909', '187k miles', '4.0-liter inline-six', '4-speed automatic transmission', 'dual-range transfer case', 'two-tone light blue & dark gray paint', 'gray cloth upholstery', 'ome 2"" lift', '33"" bfgoodrich tires', 'manually-locking front hubs', 'power windows & locks', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-19/
1989 Toyota Land Cruiser FJ62,"68,000",4/18/2021,"21,042",902,85,38,"overland park, kansas 66221",1989,fj62,"29,639",4.0-liter 3fe inline-six,automatic,metallic gray paint,gray pinstripe cloth upholstery,"['chassis: jt3fj62g7k1113837', '29,639 miles shown', '4.0-liter 3fe inline-six', '4-speed automatic transmission', 'dual-range transfer case', 'metallic gray paint', 'gray pinstripe cloth upholstery', 'power windows & locks', 'air conditioning', 'chrome wheels & bfgoodrich ko2 tires', 're-chromed bumpers & powder-coated frame', 'replacement fuel tank & lines', 'brakes, hubs, & differentials serviced', ""window sticker & owner's books"", 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-71/
1987 Toyota Land Cruiser FJ60 5-Speed,"27,750",4/17/2021,"10,692",698,27,36,"reno, nevada 89511",1987,fj60,115k,4.2-liter inline-six,manual,silver metallic,gray cloth upholstery,"['chassis: jt3fj60g4h1139632', '115k miles shown', '4.2-liter inline-six', 'five-speed manual transmission', 'silver metallic', 'gray cloth upholstery', 'air conditioning', 'pioneer cd stereo', 'tuffy lockable center console', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-72/
1985 Toyota Land Cruiser FJ60,"18,250",4/16/2021,"10,173",586,28,24,"muskegon, michigan 49441",1985,fj60,198k,4.2-liter inline-six,manual,repainted beige,brown leather upholstery,"['chassis: jt3fj60g8f1132132', '198k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'repainted beige', 'brown leather upholstery', '15"" chrome wheels', 'air conditioning ', 'locking center console', 'alpine cd stereo', 'aftermarket speakers', ""owner's manual"", 'recent service records']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-78/
1989 Toyota Land Cruiser FJ62,"29,500",4/13/2021,"9,831",586,37,40,"fredericksburg, texas 78624",1989,fj62,202k,replacement 4.0-liter straight-six,automatic,blue paint,gray leather upholstery,"['chassis: jt3fj62g7k1111313', '202k miles shown, tmu', 'replacement 4.0-liter straight-six', 'four-speed automatic transmission', 'dual-range transfer case', 'blue paint', 'gray leather upholstery', 'aftermarket 17"" wheels', 'lifted suspension', 'arb front bumper', 'kc led lighting', 'winch', 'arb roof rack', 'hitch receiver', 'carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-72/
1985 Toyota Land Cruiser FJ60,"27,000",4/12/2021,"13,181",751,43,31,"north hollywood, california 91606",1985,fj60,141k,4.2-liter inline-six,manual,white paint,striped cloth upholstery,"['chassis: jt3fj60g5f1127471', '141k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'white paint', 'striped cloth upholstery', 'bfgoodrich mud-terrain tires', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-74/
1989 Toyota Land Cruiser FJ62,"27,000",4/12/2021,"9,323",523,38,36,"la crescenta, california 91214",1989,fj62,242k,4.0l inline-six,automatic,two-tone gray & silver,beige cloth interior,"['chassis: jt3fj62g6k1100366', '242k miles shown', '4.0l inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'two-tone gray & silver', 'beige cloth interior', '15"" steel wheels', 'locking front hubs', 'trailer hitch receiver', 'jvc head unit', 'power windows & locks', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-69/
No Reserve: 1988 Toyota Land Cruiser FJ62,"28,188",4/8/2021,"8,973",578,45,41,"phoenix, arizona 85024",1988,fj62,268k,4.0-liter inline-six,automatic,beige metallic ,beige cloth upholstery  ,"['chassis: jt3fj62g8j0094235', '268k miles shown', '4.0-liter inline-six', 'four-speed automatic transmisison', 'two-speed transfer case', 'beige metallic ', 'beige cloth upholstery  ', '2"" shackle lift ', '15"" chrome wheels', 'air conditioning ', 'clean carfax report ']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-33/
1987 Toyota Land Cruiser FJ60 4-Speed,"36,000",4/5/2021,"10,417",694,71,43,"la crescenta, california 91214",1987,fj60,151k,4.2l 2f inline-6,manual,blue paint,gray cloth upholstery,"['chassis: jt3fj60g8h1139312', '151k miles shown', '4.2l 2f inline-6', '4-speed manual transmission', '2-speed transfer case', 'blue paint', 'gray cloth upholstery', 'newer 31"" bfgoodrich tires', 'driveshaft u-joint replaced', 'power steering pump replaced', 'carburetor overhauled', 'recent valve adjustment', 'accident-free carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-69/
No Reserve: 1990 Toyota Land Cruiser FJ62,"26,000",4/5/2021,"9,475",569,101,35,"colorado springs, colorado 80921",1990,fj62,202k,4.0-liter inline-six,automatic,blue paint,gray striped cloth upholstery,"['chassis: jt3fj62g2l1118946', '202k miles shown, tmu', '4.0-liter inline-six', 'four-speed automatic transmission', 'two-speed transfer case', 'blue paint', 'gray striped cloth upholstery', 'longterm current owner', 'carfax report ']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-40/
1988 Toyota Land Cruiser FJ62,"27,000",4/2/2021,"6,705",448,32,22,"tucson, arizona 85750",1988,fj62,240k,4.0-liter 3f-e inline-six,automatic,beige metallic ,brown cloth interior ,"['chassis: jt3fj62g1j0086848', '240k miles ', '4.0-liter 3f-e inline-six', 'rebuilt 4-speed automatic transmission', 'dual-range transfer case', 'beige metallic ', 'brown cloth interior ', 'r134a air conditioning ', 'michelin tires ', 'long-term arizona history ', 'service records', ""manufacturer's literature"", 'carfax report ']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-61/
1987 Toyota Land Cruiser FJ60,"26,000",4/1/2021,"12,785",686,30,42,"southampton, new york 11968",1987,fj60,192k,4.2-liter 2f inline-six,manual,repainted in green ,brown cloth upholstery ,"['chassis: jt4fj60v5h1137933', '192k miles shown', '4.2-liter 2f inline-six', '4-speed manual transmission ', 'repainted in green ', 'brown cloth upholstery ', 'roof rack & awning ', 'steel front bumper w/ winch ', 'rear bumper w/ dual swing-outs ', 'old man emu suspension ', 'auxiliary lighting', 'clean carfax report ']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-66/
1989 Toyota Land Cruiser FJ62,"50,000",3/28/2021,"18,436",681,45,8,"oklahoma city, oklahoma 73179",1989,fj62,70k,4.0-liter straight-six,automatic,red exterior,gray leather seats,"['chassis: jt3fj62g1k0099214', '70k miles', '4.0-liter straight-six', 'four-speed automatic transmission', 'dual-range transfer case', 'red exterior', 'gray leather seats', 'lockable front hubs', 'air conditioning', 'factory cassette radio', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-67/
1989 Toyota Land Cruiser FJ62,"26,500",3/26/2021,"7,579",488,25,29,"dallas, texas 75214",1989,fj62,134k,replacement 4.0-liter inline-six,automatic,repainted blue in 2017 ,reupholstered gray vinyl interior ,"['chassis: jt3fj62g4k1104044', '134k miles shown, tmu', 'replacement 4.0-liter inline-six', '4-speed automatic transmission', '2-speed transfer case', 'repainted blue in 2017 ', 'reupholstered gray vinyl interior ', 'black powder-coated wheels ', 'pioneer head unit', 'air conditioning', 'power accessories']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-68/
Vortec-Powered 1987 Toyota Land Cruiser FJ60,"36,500",3/25/2021,"14,398",675,40,16,"gray, georgia 31032",1987,fj60,800,vortec 5.3l v8,automatic,body-off repaint in silver in 2019,gray vinyl upholstery,"['chassis: jt4fj60v4h1137292', '800 miles shown, tmu', 'vortec 5.3l v8', '4l60e 4-speed automatic transmission', '2-speed transfer case', 'body-off repaint in silver in 2019', 'gray vinyl upholstery', '3"" old man emu lift', '16"" cragar wheels', 'transmission cooler', 'air conditioning', 'pioneer/rockford-fosgate audio system', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-71/
1990 Toyota Land Cruiser FJ62,"45,500",3/21/2021,"15,696",712,45,43,"palm springs, california 92264",1990,fj62,128k,4.0-liter inline-six,automatic,white paint,gray upholstery,"['chassis: jt3fj62g7l1116545', '128k miles shown', '4.0-liter inline-six', '4-speed automatic transmission', 'dual-range transfer case', 'white paint', 'gray upholstery', '31"" bfgoodrich ko2 tires', 'air conditioning', 'power windows & locks', 'sony cd/cassette stereo', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-41/
1985 Toyota Land Cruiser G HJ60 Diesel,"24,000",3/17/2021,"12,084",619,16,31,"macon, georgia 31204",1985,hj60,179k,4.0-liter diesel inline-six,automatic,beige exterior,tan cloth upholstery,"['chassis: hj60025999', '179k miles shown', '4.0-liter diesel inline-six', 'four-speed automatic transmission', 'beige exterior', 'tan cloth upholstery', '2"" suspension lift', '16"" wheels', 'led auxiliary lights', 'air conditioning', 'pioneer stereo']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-hj60-4/
1986 Toyota Land Cruiser FJ60,"20,250",3/11/2021,"7,246",444,24,27,"twentynine palms, california 92277",1986,fj60,159k,4.2l inline-six,manual,silver exterior ,gray cloth interior ,"['chassis: jt3fj60gxg1134241', '159k miles shown ', '4.2l inline-six', '4-speed manual gearbox', '2-speed transfer case', 'silver exterior ', 'gray cloth interior ', 'holley carburetor ', 'longterm california history ', 'aftermarket cd stereo', ""manufacturer's literature"", 'clean carfax report ']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-31/
1989 Toyota Land Cruiser FJ62,"27,250",3/9/2021,"9,010",562,55,11,"seattle, washington 98199",1989,fj62,129k,replacement 4.0l straight-six,automatic,white ,reupholstered gray cloth interior ,"['chassis: jt3fj62g1k1111517', '129k miles shown', 'replacement 4.0l straight-six', '4-speed automatic transmission', 'dual-range transfer case', 'white ', 'reupholstered gray cloth interior ', '15"" chrome wheels w/bfg tires ', 'hella h4 headlamps', 'manually-locking front hubs', 'am/fm cassette stereo', 'air conditioning', 'factory tool kit ', 'clean carfax report ']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-63/
1987 Toyota Land Cruiser FJ60 5-Speed,"26,750",3/8/2021,"11,471",654,34,16,"winston salem, north carolina 27104",1987,fj60,289k,4.2l inline-six,manual,white exterior,brown vinyl interior,"['chassis: jt3fj60g4h1137735', '289k miles shown', '4.2l inline-six', '5-speed manual transmission', '2-speed transfer case', 'white exterior', 'brown vinyl interior', 'lifted suspension', '16"" steel wheels w/mud tires', 'old man emu shocks', 'dual battery setup', 'steel bumpers w/winch', 'rock sliders', 'roof rack w/awning', 'arb air compressor', 'air conditioning', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-65/
1987 Toyota Land Cruiser FJ60 4-Speed,"23,500",3/4/2021,"10,840",797,30,50,"kannapolis, north carolina 28083",1987,fj60,212k,4.2-liter 2f inline-six,manual,red exterior,gray leather interior ,"['chassis: jt4fj60v9h1137403', '212k miles shown', '4.2-liter 2f inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'red exterior', 'gray leather interior ', 'kmc 17"" wheels', '2"" lift shackles', 'magnaflow muffler', 'air conditioning', 'aftermarket pioneer head unit', ""owner's manual "", 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-67/
1988 Toyota Land Cruiser FJ62,"23,750",3/4/2021,"11,092",706,24,30,"statesville, north carolina 28677",1988,fj62,252k,4.0-liter 3f-e inline-six,automatic,repaint in light blue & dark gray ,gray upholstery,"['chassis: jt3fj62gxj0087111', '252k miles shown', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'repaint in light blue & dark gray ', 'gray upholstery', 'air conditioning', 'pioneer stereo', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-60/
1988 Toyota Land Cruiser FJ62,"49,500",3/2/2021,"15,924",692,34,17,"klamath falls, oregon 97601",1988,fj62,149k,replacement 4.0-liter inline-six,automatic,refinished in white ,reupholstered gray cloth ,"['chassis: jt3fj62g7j0083971', '149k miles shown, tmu', 'replacement 4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'refinished in white ', 'reupholstered gray cloth ', 'replacement trim and emblems', '15"" chrome wheels w/ replacement 31"" tires', 'r134a air conditioning', 'cassette stereo', 'recent service records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-32/
1992 Toyota Land Cruiser FJ62 5-Speed,"27,600",3/1/2021,"17,859","1,006",85,33,"louisville, kentucky 40205",1992,fj62,75k,4.0-liter 3f inline-six,manual,refinished in white,brown vinyl with patterned cloth inserts,"['chassis: fj62910653', '120k kilometers (~75k miles) shown', 'imported to us in 2020', '4.0-liter 3f inline-six', 'five-speed manual transmission', 'dual-range transfer case', 'refinished in white', 'brown vinyl with patterned cloth inserts', 'suspension lift', 'bfgoodrich all-terrain t/a tires', 'side stripes', 'air conditioning', 'touch-screen stereo']",https://bringatrailer.com/listing/1992-toyota-land-cruiser-27/
